id_subsistema;nom_subsistema;din_instante;val_cmomediasemanal;val_cmoleve;val_cmomedia;val_cmopesada
N;NORTE;2023-01-06;0.0;0.0;0.0;0.0
NE;NORDESTE;2023-01-06;0.0;0.0;0.0;0.0
S;SUL;2023-01-06;0.0;0.0;0.0;0.0
SE;SUDESTE;2023-01-06;0.0;0.0;0.0;0.0
N;NORTE;2023-01-13;0.0;0.0;0.0;0.0
NE;NORDESTE;2023-01-13;0.0;0.0;0.0;0.0
S;SUL;2023-01-13;0.0;0.0;0.0;0.0
SE;SUDESTE;2023-01-13;0.0;0.0;0.0;0.0
N;NORTE;2023-01-20;0.0;0.0;0.0;0.0
NE;NORDESTE;2023-01-20;0.0;0.0;0.0;0.0
S;SUL;2023-01-20;0.0;0.0;0.0;0.0
SE;SUDESTE;2023-01-20;0.0;0.0;0.0;0.0
N;NORTE;2023-01-27;0.0;0.0;0.0;0.0
NE;NORDESTE;2023-01-27;0.0;0.0;0.0;0.0
S;SUL;2023-01-27;0.0;0.0;0.0;0.0
SE;SUDESTE;2023-01-27;0.0;0.0;0.0;0.0
N;NORTE;2023-02-03;0.0;0.0;0.0;0.0
NE;NORDESTE;2023-02-03;0.0;0.0;0.0;0.0
S;SUL;2023-02-03;0.0;0.0;0.0;0.0
SE;SUDESTE;2023-02-03;0.0;0.0;0.0;0.0
N;NORTE;2023-02-10;0.0;0.0;0.0;0.0
NE;NORDESTE;2023-02-10;0.0;0.0;0.0;0.0
S;SUL;2023-02-10;0.0;0.0;0.0;0.0
SE;SUDESTE;2023-02-10;0.0;0.0;0.0;0.0
N;NORTE;2023-02-17;0.0;0.0;0.0;0.0
NE;NORDESTE;2023-02-17;0.0;0.0;0.0;0.0
S;SUL;2023-02-17;0.0;0.0;0.0;0.0
SE;SUDESTE;2023-02-17;0.0;0.0;0.0;0.0
N;NORTE;2023-02-24;0.0;0.0;0.0;0.0
NE;NORDESTE;2023-02-24;0.0;0.0;0.0;0.0
S;SUL;2023-02-24;0.0;0.0;0.0;0.0
SE;SUDESTE;2023-02-24;0.0;0.0;0.0;0.0
N;NORTE;2023-03-03;0.0;0.0;0.0;0.0
NE;NORDESTE;2023-03-03;0.0;0.0;0.0;0.0
S;SUL;2023-03-03;0.0;0.0;0.0;0.0
SE;SUDESTE;2023-03-03;0.0;0.0;0.0;0.0
N;NORTE;2023-03-10;0.0;0.0;0.0;0.0
NE;NORDESTE;2023-03-10;0.0;0.0;0.0;0.0
S;SUL;2023-03-10;0.0;0.0;0.0;0.0
SE;SUDESTE;2023-03-10;0.0;0.0;0.0;0.0
N;NORTE;2023-03-17;0.0;0.0;0.0;0.0
NE;NORDESTE;2023-03-17;0.0;0.0;0.0;0.0
S;SUL;2023-03-17;0.0;0.0;0.0;0.0
SE;SUDESTE;2023-03-17;0.0;0.0;0.0;0.0
N;NORTE;2023-03-24;0.0;0.0;0.0;0.0
NE;NORDESTE;2023-03-24;0.0;0.0;0.0;0.0
S;SUL;2023-03-24;0.0;0.0;0.0;0.0
SE;SUDESTE;2023-03-24;0.0;0.0;0.0;0.0
N;NORTE;2023-03-31;0.0;0.0;0.0;0.0
NE;NORDESTE;2023-03-31;0.0;0.0;0.0;0.0
S;SUL;2023-03-31;0.0;0.0;0.0;0.0
SE;SUDESTE;2023-03-31;0.0;0.0;0.0;0.0
N;NORTE;2023-04-07;0.0;0.0;0.0;0.0
NE;NORDESTE;2023-04-07;0.0;0.0;0.0;0.0
S;SUL;2023-04-07;0.0;0.0;0.0;0.0
SE;SUDESTE;2023-04-07;0.0;0.0;0.0;0.0
N;NORTE;2023-04-14;0.0;0.0;0.0;0.0
NE;NORDESTE;2023-04-14;0.0;0.0;0.0;0.0
S;SUL;2023-04-14;0.0;0.0;0.0;0.0
SE;SUDESTE;2023-04-14;0.0;0.0;0.0;0.0
N;NORTE;2023-04-21;0.0;0.0;0.0;0.0
NE;NORDESTE;2023-04-21;0.0;0.0;0.0;0.0
S;SUL;2023-04-21;0.0;0.0;0.0;0.0
SE;SUDESTE;2023-04-21;0.0;0.0;0.0;0.0
N;NORTE;2023-04-28;0.0;0.0;0.0;0.0
NE;NORDESTE;2023-04-28;0.0;0.0;0.0;0.0
S;SUL;2023-04-28;0.0;0.0;0.0;0.0
SE;SUDESTE;2023-04-28;0.0;0.0;0.0;0.0
N;NORTE;2023-05-05;0.0;0.0;0.0;0.0
NE;NORDESTE;2023-05-05;0.0;0.0;0.0;0.0
S;SUL;2023-05-05;0.0;0.0;0.0;0.0
SE;SUDESTE;2023-05-05;0.0;0.0;0.0;0.0
N;NORTE;2023-05-12;0.0;0.0;0.0;0.0
NE;NORDESTE;2023-05-12;0.0;0.0;0.0;0.0
S;SUL;2023-05-12;0.0;0.0;0.0;0.0
SE;SUDESTE;2023-05-12;0.0;0.0;0.0;0.0
N;NORTE;2023-05-19;0.0;0.0;0.0;0.0
NE;NORDESTE;2023-05-19;0.0;0.0;0.0;0.0
S;SUL;2023-05-19;0.0;0.0;0.0;0.0
SE;SUDESTE;2023-05-19;0.0;0.0;0.0;0.0
N;NORTE;2023-05-26;0.0;0.0;0.0;0.0
