id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;2023-01-01;5703.008875
NE;Nordeste;2023-01-01;9640.00870833
S;Sul;2023-01-01;9696.385125
SE;Sudeste/Centro-Oeste;2023-01-01;31302.091125
N;Norte;2023-01-02;6140.917875
NE;Nordeste;2023-01-02;10986.79733333
S;Sul;2023-01-02;12220.86808333
SE;Sudeste/Centro-Oeste;2023-01-02;37530.289625
N;Norte;2023-01-03;6294.46220833
NE;Nordeste;2023-01-03;11315.43258333
S;Sul;2023-01-03;12591.03525
SE;Sudeste/Centro-Oeste;2023-01-03;39957.70075
N;Norte;2023-01-04;6406.14145833
NE;Nordeste;2023-01-04;11290.53145833
S;Sul;2023-01-04;11829.494875
SE;Sudeste/Centro-Oeste;2023-01-04;40658.58520833
N;Norte;2023-01-05;6515.501875
NE;Nordeste;2023-01-05;11607.45175
S;Sul;2023-01-05;11742.44445833
SE;Sudeste/Centro-Oeste;2023-01-05;39084.208375
N;Norte;2023-01-06;6366.761125
NE;Nordeste;2023-01-06;11771.77733333
S;Sul;2023-01-06;11700.86870833
SE;Sudeste/Centro-Oeste;2023-01-06;37988.08070833
N;Norte;2023-01-07;6284.876125
NE;Nordeste;2023-01-07;11183.18604167
S;Sul;2023-01-07;10580.08470833
SE;Sudeste/Centro-Oeste;2023-01-07;34663.75520833
N;Norte;2023-01-08;6100.08675
NE;Nordeste;2023-01-08;10409.19754167
S;Sul;2023-01-08;9652.34708333
SE;Sudeste/Centro-Oeste;2023-01-08;32691.03095833
N;Norte;2023-01-09;6493.51983333
NE;Nordeste;2023-01-09;11629.89004167
S;Sul;2023-01-09;12663.434625
SE;Sudeste/Centro-Oeste;2023-01-09;37800.095375
N;Norte;2023-01-10;6436.357625
NE;Nordeste;2023-01-10;11798.99470833
S;Sul;2023-01-10;13349.35475
SE;Sudeste/Centro-Oeste;2023-01-10;39469.376375
N;Norte;2023-01-11;6541.67570833
NE;Nordeste;2023-01-11;11948.91233333
S;Sul;2023-01-11;13621.69404167
SE;Sudeste/Centro-Oeste;2023-01-11;40728.934
N;Norte;2023-01-12;6704.57766667
NE;Nordeste;2023-01-12;11945.96929167
S;Sul;2023-01-12;14406.39029167
SE;Sudeste/Centro-Oeste;2023-01-12;41578.59470833
N;Norte;2023-01-13;6598.08358333
NE;Nordeste;2023-01-13;11984.56108333
S;Sul;2023-01-13;14339.50058333
SE;Sudeste/Centro-Oeste;2023-01-13;42107.74825
N;Norte;2023-01-14;6264.44216667
NE;Nordeste;2023-01-14;11511.641875
S;Sul;2023-01-14;11846.79991667
SE;Sudeste/Centro-Oeste;2023-01-14;39139.79191667
N;Norte;2023-01-15;5894.856875
NE;Nordeste;2023-01-15;10732.89266667
S;Sul;2023-01-15;10362.41345833
SE;Sudeste/Centro-Oeste;2023-01-15;36651.31295833
N;Norte;2023-01-16;6328.61533333
NE;Nordeste;2023-01-16;11912.84695833
S;Sul;2023-01-16;13664.947
SE;Sudeste/Centro-Oeste;2023-01-16;43226.66245833
N;Norte;2023-01-17;6372.83275
NE;Nordeste;2023-01-17;11821.51620833
S;Sul;2023-01-17;14473.70975
SE;Sudeste/Centro-Oeste;2023-01-17;44008.11508333
N;Norte;2023-01-18;6316.56158333
NE;Nordeste;2023-01-18;11863.2585
S;Sul;2023-01-18;14189.38041667
SE;Sudeste/Centro-Oeste;2023-01-18;43719.81895833
N;Norte;2023-01-19;6268.08716667
NE;Nordeste;2023-01-19;11860.31133333
S;Sul;2023-01-19;14143.73291667
SE;Sudeste/Centro-Oeste;2023-01-19;43385.03754167
N;Norte;2023-01-20;6321.49
NE;Nordeste;2023-01-20;11807.07779167
S;Sul;2023-01-20;14028.64141667
